id,username,date,tweet
1387977038762438658,dinaspupr,2021-04-30,"Kegiatan Penanganan Longsor di Perum PGRI, Kalibaru, Kec. Cilodong. Kamis, 29/04/2021 cc : @IdrisAShomad @danz_depok @pemkotdepok  https://t.co/OnQAGVVPd8"
1387975467634921472,smartcityindo,2021-04-30,"Selain Sampah dan Minyak Jelantah, Kali Ciliwung Serta Situ di Depok Bisa Jadi Sumber Energi Baru  https://t.co/vuwKkCGUNV"
1387974406043955203,dinaspupr,2021-04-30,"Kegiatan Lanjutan Penanganan Longsor di Perumahan Pasir Putih Residence Blok C2, Sawangan. Kamis, 29/04/2021 cc : @IdrisAShomad @danz_depok @pemkotdepok  https://t.co/4QULFdMTRF"
1387973015036596227,bluebitxhs,2021-04-30,"@ceftri1gr Hutan banget ya Depok ternyata,sampe ada babi ngepet *Mempertegas lagi wkwkw"
1387970876503728130,twelvebot,2021-04-30,"Kali Jantung Meluap, Ratusan Rumah di Depok Terendam Banjir"
1387970456599232512,dinaspupr,2021-04-30,"Kegiatan Normalisasi Saluran di Jl. Siliwangi, Depok, Pancoran Mas. Kamis, 29/04/2021 cc : @IdrisAShomad @danz_depok @pemkotdepok  https://t.co/tv63pCEj71"
1387969352884916224,dinaspupr,2021-04-30,"Kegiatan Rutin Membersihkan Sampah di Setu Pengarengan, Cisalak, Sukmajaya. Kamis, 29/04/2021 cc : @IdrisAShomad @danz_depok @pemkotdepok  https://t.co/cjBAu4IRTl"
1387969321880768516,ayaharno,2021-04-30,Blingbling eksis lagi TKP SETU TIPAR CIMANGGIS DEPOK MONGGO YG MAU LIAT LIAT RAINCOATEDELWEISS #jashujan #raincoatedelweiss #raincoat #cibubur #depok #cimanggis #indonesia #tokopedia #shopee #bisnisku #bisnisonline  https://t.co/76vikj8t1W
1387966882657959936,dinaspupr,2021-04-30,"Kegiatan Membersihkan Sampah di Kali Cabang Timur, Jl. Pipa Gas. Kamis, 29/04/2021 cc : @IdrisAShomad @danz_depok @pemkotdepok  https://t.co/bTAKH5D8dT"
1387948617223217153,rdtytamaaa,2021-04-30,"gue dari awal berita babi di depok aja udah ga percaya banget anjing aneh, di depok ada babi, apalagi babi hutan teraneh aneh. kok ya ada orang yang percaya, dulu ipanya gimana dah waktu smp sma"
1387947123874750464,peopleforpeace6,2021-04-30,"Lah iyakk, heboh bat bapet ampe se indo pembahasannya babi ngepet... Makin sampah aja berita kota depok dah.."
1387943793622614020,choipanzenosuke,2021-04-30,"Babi Ngepet di Depok  Netizen : Mendingan dibuat babi guling, lebih bermanfaat  Padahal mereka ga ngerti yang dibuat babi guling itu beda jenis dg babi yg dibunuh, babi hutan ga cocok wak"
1387937346629341193,depokinfo_,2021-04-30,"#News: Siaga Agar Tidak Terjadi Peningkatan Sampah Saat Lebaran, DLHK Depok Siapkan Ini  https://t.co/SJNngc5PVB | Depok News"
